tld,dot_num,avg_host,max_host,avg_path,max_path
com,0,18.0,18,0.0,0
com.au,0,9.0,9,0.0,0
com,0,14.0,14,0.0,0
net,0,9.0,9,0.0,0
net,0,17.0,17,0.0,0
com,0,12.0,12,0.0,0
com,0,10.0,10,0.0,0
hk,0,3.0,3,0.0,0
us,0,11.0,11,5.666666666666667,7
com,0,4.5,6,0.0,0
info,0,5.0,5,0.0,0
de,0,6.5,7,6.875,13
ma,1,5.0,8,4.0,6
com,0,3.0,4,0.0,0
net,0,6.0,6,5.333333333333333,7
com,0,7.0,7,0.0,0
com,1,8.5,12,0.0,0
com,0,11.0,11,0.0,0
ru,1,7.0,11,3.6666666666666665,5
com,0,9.5,13,0.0,0
pl,1,7.5,9,5.0,7
com,0,9.0,9,0.0,0
com,0,4.0,4,0.0,0
com,1,7.666666666666667,9,3.0,3
vg,0,6.0,6,2.5,3
com,0,15.0,15,0.0,0
com,0,13.0,13,0.0,0
com,0,9.0,9,0.0,0
cz,0,11.0,11,0.0,0
net,0,14.0,14,0.0,0
cz,0,7.0,7,0.0,0
org,0,6.0,6,3.0,3
com,0,7.333333333333333,9,0.0,0
cz,0,13.0,13,0.0,0
info,0,6.0,6,0.0,0
org,0,8.5,12,0.0,0
cz,0,15.0,15,0.0,0
net,0,5.5,9,0.0,0
cz,0,6.5,7,0.0,0
info,1,6.5,7,0.0,0
com,0,6.0,6,0.0,0
com,0,8.0,8,0.0,0
net,1,7.0,9,3.5,4
ws,0,7.0,8,2.5,5
com,0,12.0,12,0.0,0
com,0,6.0,6,0.0,0
ru,0,7.0,7,0.0,0
com,0,14.0,14,3.0,4
com,0,17.0,17,0.0,0
sk,1,3.5,4,0.0,0
com,0,9.0,9,0.0,0
com,0,11.0,11,0.0,0
info,0,10.0,10,0.0,0
info,0,10.0,10,0.0,0
info,0,10.0,10,0.0,0
info,0,11.0,11,0.0,0
info,0,9.0,9,0.0,0
info,0,9.0,9,0.0,0
info,0,10.0,10,0.0,0
info,0,12.0,12,0.0,0
info,0,9.0,9,0.0,0
info,0,9.0,9,0.0,0
net,0,18.0,18,0.0,0
com,0,14.0,14,0.0,0
org,0,6.0,6,0.0,0
com,0,17.0,17,0.0,0
ru,0,7.0,7,2.5,5
ru,0,5.0,5,0.0,0
com,0,6.0,6,5.0,8
com,0,14.0,14,0.0,0
net,0,14.0,14,0.0,0
net,0,1.5,2,0.0,0
com,0,8.0,8,0.0,0
com,0,12.0,12,0.0,0
com,0,13.0,13,0.0,0
com,0,12.0,12,0.0,0
com,0,6.0,6,2.5,3
ru,0,4.0,5,0.0,0
com,0,11.0,11,5.0,7
com,0,11.0,11,5.666666666666667,7
com,1,5.0,5,10.0,10
su,1,3.5,4,4.5,6
com,0,6.0,6,0.0,0
cl,0,8.0,8,5.5,8
cl,0,8.0,8,5.5,8
com,0,10.0,10,2.2857142857142856,6
com,0,10.0,10,0.0,0
ru,0,4.5,7,0.0,0
ro,0,9.0,9,0.0,0
com,0,6.0,6,0.0,0
com,0,15.0,15,0.0,0
info,0,5.0,5,0.0,0
net,0,9.0,9,0.0,0
org,0,7.0,7,0.0,0
us,0,9.0,10,0.0,0
pl,0,5.0,5,0.0,0
be,0,3.0,3,0.0,0
pl,0,6.0,6,0.0,0
ua,0,4.0,4,0.0,0
ua,1,5.5,7,0.0,0
com,0,9.0,9,0.0,0
si,0,5.0,8,0.0,0
com.ar,0,16.0,16,0.0,0
com,1,11.0,14,0.0,0
org,0,12.0,12,0.0,0
com.pl,0,10.0,10,0.0,0
it,1,5.5,6,4.333333333333333,7
ru,0,6.0,6,5.666666666666667,9
com,0,12.0,12,6.25,9
com,0,11.0,11,5.75,9
com,0,12.0,12,4.8,7
com,0,10.0,10,4.0,6
com,0,10.0,10,4.0,6
com,0,10.0,10,4.333333333333333,6
com,0,10.0,10,4.666666666666667,8
com,1,5.5,6,3.3333333333333335,5
cl,0,7.0,7,6.666666666666667,10
net,0,5.0,5,5.333333333333333,10
com,0,10.0,10,6.0,10
com,0,10.0,10,4.0,6
com,0,10.0,10,4.0,6
com,0,10.0,10,4.666666666666667,6
com,0,10.0,10,4.0,6
com,0,10.0,10,4.25,6
com,0,10.0,10,3.6666666666666665,5
com,0,10.0,10,4.0,6
com,0,10.0,10,4.333333333333333,6
kz,0,5.0,5,3.3333333333333335,4
kz,0,5.0,5,3.6666666666666665,4
com,0,7.0,7,3.1666666666666665,4
com,0,13.0,13,5.0,6
com,0,9.0,9,6.0,9
com,1,6.0,8,2.0,3
ru,1,5.0,7,2.5,3
com,1,9.0,9,3.6666666666666665,5
com.br,1,5.5,8,3.5,4
com,1,4.0,6,2.3333333333333335,3
net,1,5.5,6,4.333333333333333,8
net,1,5.5,6,4.333333333333333,8
net,1,4.0,5,3.5,4
ru,1,5.0,5,4.0,5
cz,1,5.0,7,4.666666666666667,8
de,0,4.0,4,7.5,12
com,0,21.0,21,6.285714285714286,12
com,0,11.0,11,6.285714285714286,12
com,0,6.0,7,6.285714285714286,12
com,2,5.333333333333333,8,5.0,7
net,0,5.0,5,18.5,32
gov,1,14.5,20,5.333333333333333,7
com,0,5.0,5,0.0,0
kr,1,6.5,11,3.25,4
com,0,20.0,20,0.0,0
lt,1,3.25,6,0.0,0
bg,1,6.5,8,0.0,0
com,0,21.0,21,0.0,0
jp,2,5.0,7,0.0,0
kr,1,6.5,11,0.0,0
com,0,15.0,15,0.0,0
com,0,13.0,13,0.0,0
com,0,12.0,12,0.0,0
com,0,8.0,8,0.0,0
com,0,12.0,12,0.0,0
com,0,7.0,7,0.0,0
com,0,12.0,12,0.0,0
com,0,17.0,17,0.0,0
com,0,15.0,15,0.0,0
com,0,13.0,13,0.0,0
eu,0,4.0,6,0.0,0
de,0,13.5,18,0.0,0
de,0,7.0,8,0.0,0
com,0,10.0,10,0.0,0
com,0,7.5,10,0.0,0
net,0,12.0,12,0.0,0
com,0,7.0,7,0.0,0
com,0,6.0,6,0.0,0
com,0,12.0,12,2.0,4
com,0,3.0,4,0.0,0
com,0,12.0,12,0.0,0
com,0,16.0,16,3.0,3
com,0,12.0,12,0.0,0
com,0,19.0,19,0.0,0
com,0,10.0,10,6.333333333333333,10
com,0,5.0,6,6.333333333333333,11
ru,1,6.5,8,0.0,0
edu.in,0,3.0,3,0.0,0
uk,1,4.5,7,0.0,0
uk,1,4.5,7,4.333333333333333,9
uk,1,4.5,7,4.666666666666667,6
uk,1,4.5,7,5.333333333333333,8
com,0,8.5,9,5.25,8
com,0,11.0,11,3.0,3
sk,0,6.0,6,5.0,7
com,0,9.0,9,4.666666666666667,10
de,0,7.0,7,1.0,3
eu,0,11.0,11,3.8333333333333335,8
net,2,4.0,6,4.333333333333333,8
net,0,10.0,10,4.0,7
nl,0,5.0,5,0.0,0
net.ua,0,5.0,5,6.0,8
kr,1,3.0,4,2.5,3
eu,0,9.0,9,5.666666666666667,8
uk,1,7.0,12,3.75,6
net,0,7.0,7,0.0,0
com,0,3.3333333333333335,5,3.8,11
com,0,3.3333333333333335,5,2.8333333333333335,8
com,0,3.3333333333333335,5,3.3333333333333335,6
com,0,3.3333333333333335,5,5.0,10
com,0,3.3333333333333335,5,6.5,10
com,0,3.3333333333333335,5,7.25,10
com,0,3.3333333333333335,5,3.5,5
com,0,3.3333333333333335,5,4.0,7
com,0,15.0,15,0.0,0
com,0,15.0,15,0.0,0
com,0,15.0,15,0.0,0
com,1,4.5,6,3.3333333333333335,6
com,1,4.5,6,4.75,8
net,0,8.0,8,2.0,4
ru,0,3.0,3,0.0,0
com,0,15.0,15,4.5,9
com,0,15.0,15,4.5,9
com,0,7.0,7,0.0,0
ru,0,9.0,9,0.0,0
de,0,13.0,13,0.0,0
com,1,7.5,12,0.0,0
it,0,11.0,11,5.0,9
com,2,2.6666666666666665,7,3.2,4
com,2,3.0,7,3.4,5
com,2,2.8333333333333335,7,3.0,4
com,2,3.0,7,3.0,4
kr,2,3.3333333333333335,5,4.75,8
uk,1,3.5,5,4.666666666666667,5
com,1,6.0,8,6.333333333333333,10
ru,1,6.0,9,3.6666666666666665,5
ws,0,11.0,11,3.6666666666666665,5
tk,0,8.0,8,3.3333333333333335,4
tk,0,10.0,10,3.6666666666666665,5
com,1,7.5,12,4.0,5
com,1,7.5,12,2.0,4
com,0,6.0,6,4.5,6
kr,2,5.0,7,7.0,12
org,0,6.0,6,4.25,6
org,0,6.0,6,3.75,6
tk,0,12.0,12,1.0,2
tk,0,4.0,6,1.0,2
tk,0,5.0,6,1.0,2
tk,0,5.0,6,1.0,2
tk,0,6.0,6,4.0,5
tk,0,6.0,6,3.6666666666666665,4
tk,0,4.0,6,1.0,2
tk,0,9.0,9,3.6666666666666665,5
tk,0,9.0,9,3.3333333333333335,4
tk,0,5.5,6,1.0,2
tk,0,5.5,6,1.0,2
tk,0,5.5,6,1.0,2
tk,0,9.0,9,3.6666666666666665,4
tk,0,9.0,9,4.0,5
tk,0,5.5,6,1.0,2
tk,0,5.0,6,1.0,2
tk,0,3.5,4,1.0,2
tk,0,5.0,8,1.0,2
tk,0,7.0,7,3.6666666666666665,5
tk,0,7.0,7,3.3333333333333335,4
tk,0,3.5,4,1.0,2
tk,0,6.0,6,3.6666666666666665,5
tk,0,6.0,6,3.3333333333333335,4
com,0,6.0,6,4.333333333333333,6
tk,0,8.0,8,3.3333333333333335,5
tk,0,8.0,8,3.0,4
tk,0,7.0,7,3.3333333333333335,4
tk,0,7.0,7,3.3333333333333335,4
tk,0,7.0,7,3.3333333333333335,4
tk,0,7.0,7,3.3333333333333335,4
tk,0,4.5,6,1.0,2
tk,0,4.0,5,1.0,2
tk,0,5.0,7,1.0,2
com,0,9.0,9,3.6,6
ws,0,4.0,4,8.0,19
ru,2,6.0,12,3.5,4
ru,2,6.0,12,5.0,7
tk,0,6.5,10,1.0,2
tk,0,6.5,9,1.0,2
com,0,14.0,14,5.25,8
kr,1,3.0,4,2.6666666666666665,4
com,0,5.0,5,4.0,6
tk,0,6.5,10,1.0,2
su,1,6.5,8,5.0,6
tk,0,5.5,8,1.0,2
tk,0,5.0,7,1.0,2
tk,0,9.0,11,1.0,2
tk,0,8.5,10,1.0,2
tk,0,8.5,10,1.0,2
tk,0,8.5,10,1.0,2
tk,0,8.0,9,1.0,2
tk,0,5.5,6,1.0,2
tk,0,7.5,12,1.0,2
tk,0,4.5,6,1.0,2
com,0,10.0,10,4.0,5
tk,0,7.5,8,1.0,2
com.br,2,6.25,11,3.0,3
com,0,21.0,21,6.0,12
eu,0,13.0,13,5.090909090909091,12
com,1,15.5,19,4.25,7
com,1,4.666666666666667,6,0.0,0
com,1,6.0,8,0.0,0
com.hk,0,14.0,14,5.142857142857143,9
com,0,12.0,12,0.0,0
com,1,4.25,6,0.0,0
com,0,17.0,17,5.222222222222222,9
ru,1,5.0,6,0.0,0
ru,1,4.0,5,0.0,0
com,1,10.0,11,13.5,24
com,1,5.0,8,3.8333333333333335,7
com,0,8.0,8,3.8,7
nl,0,8.0,8,0.0,0
com,0,10.0,10,5.0,8
com,0,12.0,12,2.5,3
com,0,10.0,10,11.75,29
tk,0,8.0,8,9.0,15
net,0,9.0,9,4.142857142857143,10
com,0,10.0,10,5.5,9
by,0,5.0,5,4.5,6
com,0,10.0,10,2.4,5
ru,1,11.0,17,4.333333333333333,6
ro,0,17.0,17,5.333333333333333,7
com,0,13.0,13,5.333333333333333,7
com,0,21.0,21,5.0,6
it,0,18.0,18,5.0,6
com,0,12.0,12,0.0,0
com,0,14.0,14,3.0,5
com,0,4.0,4,2.5,5
net,0,7.0,7,3.6666666666666665,5
net,0,7.0,7,3.3333333333333335,5
net,1,12.0,16,0.0,0
com.br,0,5.0,5,4.0,4
gr,0,12.0,12,5.666666666666667,8
com,0,4.0,4,3.6666666666666665,9
com,1,2.5,4,3.6666666666666665,9
