tld,dot_num,avg_host,max_host,avg_path,max_path,class
org,1,5.5,9,6.666666666666667,12,good
sk,0,10.0,10,5.0,5,bad
net,1,5.5,8,0.0,0,bad
com,0,5.0,5,4.4,7,bad
com,1,8.5,14,6.0,8,good
gov.uk,1,3.0,3,5.714285714285714,8,good
com,1,9.5,16,0.0,0,bad
com.na,1,4.5,6,5.0,7,good
gov.uk,1,7.0,10,4.0,6,good
com,0,10.0,10,5.2,8,bad
com,1,9.5,12,8.0,12,good
edu.au,1,5.0,7,4.5,11,good
org,0,18.0,18,5.636363636363637,12,good
edu,1,7.5,8,7.0,13,good
ru,1,5.5,8,15.166666666666666,78,good
ru,0,5.5,6,9.666666666666666,16,bad
com,1,8.0,13,5.2,8,good
com,2,7.75,13,5.333333333333333,7,good
com,0,10.0,10,3.8,5,bad
edu.au,1,5.0,7,3.5,6,good
uk,2,3.0,4,3.25,7,good
com,0,12.0,12,3.5714285714285716,7,bad
com,2,3.6666666666666665,5,2.0,2,bad
ro,0,2.5,4,9.0,9,bad
ke,1,6.0,10,4.333333333333333,10,bad
ca,2,5.0,7,5.666666666666667,7,good
com,0,12.0,12,3.0,7,bad
edu,3,5.75,7,4.666666666666667,9,good
com,0,2.0,3,6.818181818181818,32,bad
it,1,8.0,13,8.0,8,bad
biz,1,2.6666666666666665,4,0.0,0,bad
com,0,12.0,12,8.0,8,bad
net,0,9.0,9,8.0,8,bad
com,0,6.0,6,4.0,8,good
cl,0,13.0,13,3.6666666666666665,6,bad
com,0,10.0,10,6.0,6,bad
com,0,11.0,11,3.3333333333333335,6,bad
top,0,12.0,12,0.0,0,bad
si,1,4.5,6,6.8,10,good
com,1,3.5,4,1.3333333333333333,2,good
za,2,2.6666666666666665,3,5.0,9,good
org,1,5.5,9,7.0,10,good
ru,1,3.5,4,5.5,7,good
uk,2,5.0,9,0.0,0,good
gov,1,6.5,10,7.333333333333333,8,good
ru,0,7.0,7,3.5,4,bad
org,1,5.5,9,6.5,9,good
com.au,0,6.0,6,4.833333333333333,7,bad
